en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"compass","Pusula","n","🧭",0,"A device for finding directions","Modadil 1080",0,"",18,"They were first civilization that used a magnetic compass to determine direction.","Onlar, yön belirlemek için manyetik bir pusula kullanan ilk uygarlıktı.",1
"conductivity","Iletkenli, geçirgenlik","n","⚡",1,"Ability to transmit electricity","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2018-1; 2022-1",18,"Tiny amounts of carbon improve copper's conductivity.","Az miktarda karbon, bakırın iletkenliğini arttırır.",1
"cope with","Başa çıkmak, üstesinden gelmek","phrasal","💪",1,"Deal with; handle; overcome","Modadil 1080; Modadil Yapılar; Çıkmış sorular; Koç havuzu",2,"2021-2; 2025-2",18,"ocal leaders have often taken better steps to cope with climate change.","Yerel liderler iklim değişikliği ile başa çıkmak için çoğu kez daha iyi adımlar attı.",1
"deduce","Sonucuna varmak, çıkarım yapmak, anlamak","v","🕵️",1,"Conclude; infer; assume","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2018-1",18,"Palaeontology was once limited to discovering fossils and trying to deduce their age with inaccurate methods.","Paleontoloji, bir zamanlar fosilleri keşfetmek ve yaşlarını anlamaya çalışmakla sınırlıydı.",1
"drawback","Sorun, engel, dezavantaj","n","⛔",1,"Disadvantage; problem","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2023-1; 2023-2",18,"There have been earlier cholera vaccines, but they had serious drawbacks.","Daha eski kolera aşıları mevcuttu, ancak ciddi dezavantajları vardı.",1
"evacuate","Tahliye etmek, boşaltmak","v","🏃",0,"Empty; abandon; leave","Modadil 1080",0,"",18,"The local authority asked residents to evacuate the island immediately.","Yerel otorite sakinlerden adayı derhal tahliye etmelerini istedi.",1
"expenditure","Gider, masraf, harcama","n","💸",0,"Spending; expenses; costs","Modadil 1080; Zafer Hoca",0,"",18,"Since 2001, NASA has been insreasing expenditure for scientific research.","2001 yılından beri, NASA bilimsel araştırma harcamalarını arttırıyor.",1
"fertility","Verimlilik, üretkenlik","n","🌱",0,"Fruitfulness; productiveness","Modadil 1080; Çıkmış sorular",1,"2024-2",18,"Farmers improve the soil fertility by adding compost","Çiftçiler, organik gübre ilave ederek toprak verimliliğini artırır.",1
"maintenance","Bakım, idame","n","🔧",0,"Continuing repair work","Modadil 1080; Çıkmış sorular",1,"2025-1",18,"Strong currents make maintenance of the bridge difficult and dangerous.","Güçlü akıntılar köprünün bakımını zor ve tehlikeli yapar.",1
"notion","Düşünce, fikir","n","💭",1,"Idea; view; concept; belief","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2024-1; 2025-1",18,"Leibniz had a notion of modern algorithmic information.","Leibniz'in çağdaş algoritmik bilgilere dair bir fikri vardı.",1
"precisely","Tam olarak, kesin olarak","adv","🎯",1,"Exactly; accurately; completely","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-1",18,"The first thing to do for them was to precisely identify the excavation site","Onlar için ilk yapılması gereken şey kazı alanını tam olarak tespit etmeleriydi.",1
"progressively","Gittikçe, artan biçimde","adv","📈",0,"Increasingly; more and more","Modadil 1080",0,"",18,"Venus, Earth and Mars move progressively less rapidly about the Sun.","Venüs, Dünya ve Mars, Güneş'ten giderek daha az hızlı hareket eder.",1
"prohibit","Yasaklamak","v","🚫",1,"Forbid; ban","Modadil 1080; Çıkmış sorular",1,"2022-2",18,"Laws in many countries prohibit disposal of sewage and other wastes at sea.","Birçok ülkede yasalar, kanalizasyon ve diğer atıkların denizde yok edilmesini yasaklar.",1
"supplement","Takviye, ilave","n","💊",0,"Addition; extra","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",18,"Probiotic supplements are intended to colonize the gut with beneficial bacteria.","Probiyotik takviyeleriyle bağırsağın yararlı bakterilerle kolonileştirilmesi amaçlanır.",1
"vital","Hayati, önemli","adj","❤️",1,"Important; critical; crucial","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2018-1; 2021-1; 2023-2",18,"Amazon forests makes a vital contribution to the global atmospheric balance.","Amazon ormanları küresel atmosferik dengeye hayati bir katkı yapar.",1
"vulnerable","Savunmasız, zayıf, yatkın","adj","🩹",1,"Susceptible; weak; defenseless","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",4,"2021-2; 2023-2; 2024-2; 2025-1",18,"Mountains in polar latitudes are the least vulnerable to erosion.","Kutup enlemlerindeki dağlar erozyona karşı en az savunmasızdır.",1
"boost","Yükseltmek, artırmak, geliştirmek","v","🚀",1,"Increase; improve; enhance","Modadil 1080; Çıkmış sorular",1,"2021-2",19,"The United States is replacing coal with natural gas and boosting renewable energy sources.","Amerika Birleşik Devletleri kömürü doğal gazla değiştiriyor ve yenilenebilir enerji kaynaklarını artıyor.",1
"comparatively","Kısmen, nispeten","adv","⚖️",1,"Moderately; relatively; somewhat","Modadil 1080; Çıkmış sorular",1,"2023-1",19,"There are comparatively few disasters in the West, with the exception of California.","ya hariç, Batı'da nispeten az felaket var.",1
"conservation","Koruma, muhafaza","n","🌳",1,"Upkeep; preservation; maintenance; protection","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2022-2; 2023-1; 2024-1; 2025-2",19,"Marine conservation areas are absolutely essential.","Deniz koruma alanları kesinlikle gereklidir.",1
"contamination","Kirlenme, kirlilik","n","☣️",0,"Pollution","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2024-1",19,"Excess phosphorus in soil is linked to water contamination.","Topraktaki aşırı fosfor, su kirliliğiyle bağlantılıdır.",1
"decay","Çürümek, bozulmak, çürük","v","🍂",1,"Decompose; rot; spoil","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2021-2; 2023-2",19,"Organic material decays rapidly, especially in hot climates.","Organik materyal özellikle sıcak iklimlerde hızla çürür.",1
"decline","Azalma, düşüş, azalmak, zayıflamak","v","📉",1,"Decrease; weaken","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",6,"2018-1; 2021-1; 2021-2; 2022-1; 2022-2; 2023-1",19,"Hunting is responsible for population declines in many species.","Avcılık, birçok türün nüfus azalışlarından sorumludur.",1
"density","Yoğunluk, öz kütl","n","🧱",0,"Thickness; mass","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",19,"The density of the methane in Pluto atmosphere cannot be measured.","Plüton atmosferindeki metanın yoğunluğu ölçülemez",1
"endanger","Tehlikeye atmak","v","⚠️",0,"Put in danger; imperil; jeopardize","Modadil 1080",0,"",19,"The conservationists argue the vehicles endanger life.","Çevreciler, araçların hayatı tehlikeye attığını iddia ediyor.",1
"establish","Kurmak, tesis etmek","v","🏗️",1,"Set up; found","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2022-1; 2022-2; 2023-2",19,"NASA’s ultimate goal is to establish a permanent lunar base","NASA'nın nihai hedefi, kalıcı bir Ay üssü tesis etmektir.",1
"estimate","Tahmin etmek, hesap etmek","v","📊",1,"Approximate; guess","Modadil 1080; Çıkmış sorular; Koç havuzu",5,"2018-1; 2021-1; 2022-2; 2024-1; 2024-2",19,"Plant biologists estimate that 25-50% of all plant species are polyploids.","Bitki biyologları, tüm bitki türlerinin % 25-50'sinin çok kromozomlu olduğunu tahmin etmektedir.",1
"eventual","Nihai, son","adj","🏁",0,"Ultimate; final; last","Modadil 1080",0,"",19,"The eventual version of the weedkilling robot comes into use.","Ot öldürücü robotun nihai versiyonu kullanıma girdi.",1
"experiment","Deney","n","🧪",0,"Trial; test","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-2",19,"The results of the experiment surprised everyone","Deneyin sonuçları herkesi şaşırttı.",1
"fatal","Ölümcül, öldürücü","adj","💀",1,"Deadly; lethal","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2022-2",19,"Contamination in regions where the food industry is common could become fatal.","Gıda endüstrisinin yaygın olduğu bölgelerdeki kirlilik ölümcül olabilir.",1
"flooding","Sel, su baskını","n","🌊",0,"Deluge; torrent","Modadil 1080; Çıkmış sorular",1,"2025-1",19,"A massive flooding may have wiped out the dinosaurs in India.","Büyük bir sel, Hindistan'daki dinozorları yok etmiş olabilir.",1
"indicate","İşaret etmek, belirtmek, göstermek","v","👉",1,"Point out; suggest; show","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2023-1; 2024-2; 2025-2",19,"Statistics indicate that surface mining is less hazardous.","İstatistikler, yüzey madenciliğinin daha az tehlikeli olduğunu göstermektedir.",1
"inquiry","Anket, sorgulama, tahkikat","n","❔",0,"Analysis; survey; investigation","Modadil 1080",0,"",19,"Science is based on inquiry, observation and exploration.","Bilim, sorgulama, gözlem ve keşife dayanır.",1
"lightning","Şimşek, yıldırım","n","⚡",0,"Flash of light in the sky","Modadil 1080; Çıkmış sorular",1,"2024-2",19,"Lightning begins as a small spark in a thundercloud and then travels towards the Earth.","Yıldırım, gök gürültülü bir kıvılcımla başlar ve sonra Dünya'ya doğru yol alır.",1
"persistent","Kalıcı, devamlı","adj","📌",1,"Constant; permanent; lasting","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2022-1",19,"The persistent prevailing winds blowing over the oceans produce ocean currents.","Okyanuslarda esen kalıcı hakim rüzgarlar okyanus akıntıları üretir.",1
"threat","Tehdit, gözdağı","n","⚠️",1,"Danger; risk; hazard; menace","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2021-1; 2021-2; 2023-1; 2023-2",19,"Oil spills are the primary threat to the lives of sea creatures on Australian coasts","Petrol sızıntıları, Avustralya kıyılarındaki deniz canlılarının yaşamları için başlıca tehdittir.",1
"verify","Doğrulamak, kanıtlamak, teyit etmek","v","✅",1,"Confirm; prove; validate","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2022-2; 2024-2",19,"More scientific evidence is needed to verify ozone depletion.","Ozon tabakasının delinmesini teyit etmek için daha fazla bilimsel kanıt gerekmektedir.",1
"adverse","Ters, olumsuz","adj","👎",1,"Unfavorable; unpleasant","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2021-2; 2023-1; 2023-2",20,"Severe climatic conditions could have adverse impacts on vegetation.","Şiddetli iklim koşulları, bitki örtüsü üzerinde olumsuz etkilere neden olabilir.",1
"altitude","İrtifa, rakım, yükseklik","n","🏔️",1,"Height; elevation","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2018-1; 2021-2; 2024-1",20,"The atmosphere thins out at a surprising rate, dropping in density by about 1% for each 100 meters in altitude.","Atmosfer, yoğunluğunun her 100 metre yükseklikte yaklaşık %1 oranında azalmasıyla, şaşırtıcı bir hızla incelir",1
"amplification","Kuvvetlendirme, yükseltme, artış","n","🔊",0,"Intensification; strengthening; augmentation; extension","Modadil 1080; Zafer Hoca",0,"",20,"The amplification of seismic waves all over the world arouses concerns.","Dünyanın her yerindeki sismik dalgaların artışı kaygı uyandırıyor.",1
"crash","Çarpışma, kaza","n","💥",0,"Collision; accident","Modadil 1080; Zafer Hoca",0,"",20,"The crash was caused by a buildup of ice on the wings of the plane.","Kaza, uçağın kanatlarında buz birikmesinden meydana geldi.",1
"disaster","Afet, felaket","n","🌪️",1,"Catastrophe; calamity","Modadil 1080; Çıkmış sorular",2,"2021-1; 2022-1",20,"The disaster at the Fukushima Daiichi in Japan damaged the ecosystem.","Japonya'da Fukushima Daiichi'deki felaket, ekosistemi tahrip etti.",1
"earthquake","Deprem, sarsıntı","n","🌍",0,"Tremor; shaking","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-2",20,"Each number on the Richter scale represents an earthquake.","Richter ölçeğinde bulunan her sayı bir depremi gösterir.",1
"efficiency","Verimlilik, etkililik","n","⚡",0,"Effectiveness; productivity","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2025-1",20,"Reflection of light has an adverse effect on the efficiency of solar panels.","Işık yansıması, güneş panellerinin verimliliği üzerinde olumsuz bir etkiye sahiptir.",1
"evolution","Evrim, gelişim","n","🐒",0,"Development; growth; progress","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2025-2",20,"Human evolution will allow humans to live in the extreme conditions of space.","İnsanın evrimi, insanın uzayın zor koşullarında yaşamasına imkan sağlayacaktır.",1
"harmful","Zararlı","adj","☠️",1,"Damaging; dangerous; destructive; detrimental","Modadil 1080; Çıkmış sorular; Koç havuzu",6,"2021-2; 2022-2; 2023-1; 2023-2; 2024-2; 2025-2",20,"Humans use chemicals to get rid of harmful plants growing among agricultural crops.","İnsanlar tarımsal ürünler arasında yetişen zararlı bitkilerden kurtulmak için",1
"hazard","Tehlike, risk","n","⚠️",1,"Danger; threat; risk; peril","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2024-1; 2025-1",20,"Studies have shown that radiation in deep space poses deadly hazards to astronauts.","Araştırmalar, uzayın derinliğindeki radyasyonun astronotlara ölümcül tehlikeler getirdiğini gösteriyor.",1
"lessen","Azaltmak, hafifletmek","v","📉",0,"Lower; reduce","Modadil 1080",0,"",20,"Collecting and using water more efficiently would lessen the need for more dams.","Suyu daha verimli bir şekilde toplamak ve kullanmak, daha fazla baraja olan ihtiyacı azaltacaktır.",1
"mitigate","Hafifletmek, azaltmak","v","🩹",0,"Alleviate; diminish","Modadil 1080; Koç havuzu",0,"",20,"Some countries try to mitigate the worst effects of climate change.","Bazı ülkeler iklim değişikliğinin en kötü etkilerini azaltmaya çalışmaktadır.",1
"pollute","Kirletmek","v","🏭",0,"Contaminate","Modadil 1080; Koç havuzu",0,"",20,"Due to waste gases that pollute the atmosphere, the world’s climate has become much warmer.","Atmosferi kirleten atık gazlar nedeniyle, dünyanın iklimi çok daha sıcak hale geldi.",1
"regardless of","-e bakılmaksızın","yapı","🤷",1,"Irrespective of","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2022-2; 2023-1; 2025-2",20,"Regardless of the method, searching for gold and other minerals is dangerous.","Yönteme bakılmaksızın, altın ve diğer mineralleri aramak tehlikelidir.",1
"sensible","Akla uygun, mantıklı","adj","🧠",0,"Reasonable; plausible; logical","Modadil 1080",0,"",20,"The factors affecting the sensible heat flux are the wind velocity and the air-sea temperature difference.","Makul ısı akışını etkileyen faktörler rüzgar hızı ve hava-deniz sıcaklığı farkıdır.",1
"stability","Kararlılık, istikrar","n","⚖️",0,"Constancy; steadiness","Modadil 1080; Koç havuzu",0,"",20,"When a great number of species becomes extinct, the stability of the ecosystem is threatened.","Çok sayıda tür yok olduğunda, ekosistemin istikrarı tehdit altındadır.",1
"undeniable","İnkar edlemez, kesin","adj","💯",1,"Irrefutable; indisputable","Modadil 1080; Çıkmış sorular",1,"2022-1",20,"The damaging effects of plastic waste on the environment are undeniable.","Plastik atıkların çevre üzerindeki zararlı etkileri inkar edilemez.",1
"unstable","İstikrarsız, kararsız","adj","🎢",1,"Irrational; ambiguous","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2023-2; 2025-1",20,"Conditions in the mine were so unstable.","Madende bulunan koşullar çok istikrarsızdı.",1
"urge","Tavsiye etmek, zorlamak","v","📢",0,"Advise; recommend; suggest; force","Modadil 1080",0,"",20,"They urge local authorities to intervene in environmental disasters.","Yerel yetkilileri çevre felaketlerine müdahaleye zorluyorlar.",1
"visibility","Görüş mesafesi, görünürlük","n","👁️",0,"Sight; vision","Modadil 1080",0,"",20,"Helicopter was unable to take rescue teams due to poor visibility in the area.","Helikopter bölgedeki zayıf görüş nedeniyle kurtarma ekiplerini alamadı.",1
"adjust","Ayarlamak, uyum sağlamak","v","🎛️",0,"Modify; regulate; adapt","Modadil 1080; Koç havuzu",0,"",21,"It takes time for some systems in the body to adjust to the conditions in space.","Vücuttaki bazı sistemlerin uzaydaki koşullara uyum sağlamaları zaman alır.",1
"allege","İddia etmek, ileri sürmek","v","🗣️",1,"Assert; claim; maintain","Modadil 1080; Çıkmış sorular",1,"2023-2",21,"Statistics allege extreme flooding jeopardize public safety","İstatistikler aşırı sel baskınlarının kamu güvenliğini tehlikeye attığını iddia ediyor.",1
"approval","Tasvip, onay","n","👍",0,"Acceptance; agreement","Modadil 1080; Çıkmış sorular",1,"2025-1",21,"All kinds of scientific experiments were subject to the approval of the committee.","Her türlü bilimsel deney komitenin onayına tabiydi.",1
"arid","Verimsiz, çorak, kuru","adj","🏜️",1,"Dry; waterless; infertile; barren","Modadil 1080; Çıkmış sorular; Zafer Hoca",4,"2022-1; 2023-1; 2023-2; 2025-1",21,"A desert lizard survives in arid conditions by drinking water from puddles.","Bir çöl kertenkelesi, kurak koşullarda su birikintilerinden su içerek hayatta kalır.",1
"be composed of","-den oluşmak","v","🧩",1,"Consist; be made up of; comprise","Modadil 1080; Modadil Yapılar; Çıkmış sorular; Koç havuzu",1,"2024-2",21,"A human gene is composed of two groups of 23 chromosomes","Bir insan geni 23 kromozomluk iki gruptan oluşur.",1
"dependence","Gereksinim, bel bağlama","n","🔗",0,"Reliance; addiction; need","Modadil 1080",0,"",21,"There is still much dependence in the paper industry on the use of wood pulp.","Kağıt endüstrisinde odun hamuru kullanımına halen çok fazla bağımlılık bulunmaktadır.",1
"disappearance","Yok olma, gözden kaybolma","n","💨",0,"Vanishing; fading; loss","Modadil 1080",0,"",21,"The disappearance of a single species is not dramatic but when a second or third become extinct, the stability of the ecosystem is threatened.","Tek bir türün yok olması etkili değildir, ancak ikinci veya üçüncü nesiller tükendiğinde ekosistemin istikrarı tehdit altındadır.",1
"equilibrium","Denge, kararlılık","n","⚖️",0,"Balance; stability","Modadil 1080; Koç havuzu",0,"",21,"Entropy is a physical property like temperature and pressure, and measures how close a system has come to reaching stagnant 'equilibrium'.","Entropi, sıcaklık ve basınç gibi fiziksel bir özelliktir ve bir sistemin durağan kararlılığa ne kadar yaklaştığını ölçer.",1
"exceed","Aşmak, ileri gitmek","v","🚀",1,"Go beyond; surpass","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2021-2",21,"At present the number of known exoplanets exceeds 100.","Günümüzde bilinen güneş sistemi dışı gezegen sayısı 100'ü aşmaktadır.",1
"fertilize","Gübrelemek, verimli kılmak","v","🌱",0,"Compost; manure","Modadil 1080; Zafer Hoca",0,"",21,"The most fertile land is in the Pacific coast region, where volcanic ash has fertilized the soil.","En verimli yer, volkanik külün toprağı gübrelediği Pasifik sahilindeki bölgedir.",1
"friction","Sürtünme","n","🔥",1,"Rubbing; resistance","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2022-1; 2025-1",21,"As atmospheric friction increases, the spacecraft will slow down and heat up.","Atmosferik sürtünme arttıkça, uzay aracı yavaşlar ve ısınır.",1
"huge","Muazzam, devasa, çok büyük","adj","🐘",0,"Enormous; vast; gigantic; massive","Modadil 1080",0,"",21,"Scientific mysteries and huge surprises await all space explorers.","Tüm uzay kaşiflerini bilimsel sırlar ve muazzam sürprizler beklemektedir",1
"insecticide","Böcek ilacı","n","🐛",0,"Pesticide","Modadil 1080; Zafer Hoca",0,"",21,"Insecticide gets into the plants' pollen and nectar, and thus into bees","Böcek ilaçları bitkilerin polen ve nektarına, dolayısıyla da arılara bulaşır.",1
"precious","Kıymetli, değerli","adj","💎",1,"Valuable; costly; expensive","Modadil 1080; Çıkmış sorular",2,"2021-1; 2022-2",21,"Wooden construction means a big trouble for some of the world's most precious ecosystems.","Ahşap inşaa, dünyanın en kıymetli ekosistemlerinin bazıları için büyük bir sorun demektir.",1
"refuse","Geri çevirmek, reddetmek","v","🙅",1,"Reject; rebuff; turn down","Modadil 1080; Çıkmış sorular",2,"2021-1; 2024-1",21,"Throughout his life, he refused to join the scientific community.","Hayatı boyunca, bilim camiasına katılmayı reddetti.",1
"sanitation","Sıhhi temizlik","n","🧼",0,"Hygiene; cleanliness","Modadil 1080",0,"",21,"Millions of people face with water shortages and poor sanitation.","Milyonlarca insan su kıtlığı ve uygun olamayan sıhhi temizlik ile karşı karşıyadır.",1
"space shuttle","Uzay mekiği","n","🚀",0,"Spacecraft","Modadil 1080",0,"",21,"For future missions, NASA has designed a new space shuttle.","Gelecekteki görevler için NASA yeni bir uzay mekiği tasarladı",1
"strike","Vurmak, çarpmak, etkilemek, darbe, çarpma","v","🥊",1,"Beat; hit","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2018-1",21,"A comet may, at some point in the future, strike Earth.","Gelecekte bir noktada bir kuyruklu yıldız dünyaya çarpabilir.",1
"sustainability","Sürdürülebilirlik, doğal denge","n","♻️",0,"Maintaining an ecological balance","Modadil 1080; Zafer Hoca; Koç havuzu",0,"",21,"Sustainability policies were formulated by developed countries.","Sürdürülebilirlik politikaları gelişmiş ülkelerce oluşturuldu.",1
"vapour","Buhar, buğu","n","💨",0,"Steam; haze; fume","Modadil 1080; Koç havuzu",0,"",21,"Water vapour is the most common greenhouse gas in the atmosphere.","Su buharı, atmosferdeki en bilinen sera gazıdır.",1
"account for","Oluşturmak, tekabül etmek","phrasal","🧮",1,"Constitute; comprise; make up","Modadil 1080; Modadil Yapılar; Çıkmış sorular; Koç havuzu",4,"2018-1; 2022-1; 2023-1; 2025-1",22,"Hydrogen accounts for about 90% of the atoms in the universe.","Hidrojen, evrendeki atomların yaklaşık% 90'ını oluşturur.",1
"advocate","Savunmak, destek olmak","v","📣",0,"Support; counsel; back up","Modadil 1080",0,"",22,"The 'liquid protein' diet, advocated for weight loss, caused many deaths.","Kilo kaybı için savunulan ""sıvı protein"" diyeti birçok ölümüne neden oldu",1
"assumption","Sanı, farzetme, varsayım","n","💭",1,"Supposition; postulation; hypothesis","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2018-1; 2023-2",22,"Harvey hurricane is a failure of the assumption that we'll adapt to climate change.","Harvey kasırgası iklim değişikliğine adapte olacağımız varsayımının bir yanlışıdır",1
"copper","Bakır","n","🟠",0,"Reddish-brown metal","Modadil 1080; Zafer Hoca",0,"",22,"They've managed to make copper that is both strong and pliable.","Hem güçlü hem de yumuşak olan bakırı yapmayı başardılar.",1
"deforestation","Ormansızlaşma","n","🪵",0,"The action of clearing a wide area of trees","Modadil 1080; Koç havuzu",0,"",22,"Deforestation contributes to increasing atmospheric methane levels.","Ormansızlaşma, atmosferdeki metan seviyesinin artmasına sebep olur.",1
"diversify","Çeşitlenmek, çeşitlendirmek, farklılaştırmak","v","🌈",0,"Branch out; vary; expand","Modadil 1080",0,"",22,"Microbial life diversified very early in Earth history.","Mikrobik yaşam, Dünya tarihinin çok erken dönemlerinde çeşitlendi.",1
"doubtful","Şüpheli, kuşkulu","adj","🤨",0,"Unsure; uncertain","Modadil 1080",0,"",22,"Whether the stem cells themselves could be a source of fertile oocytes grown in the lab is doubtful.","Kök hücrelerin kendilerinin laboratuarda yetiştirilen verimli bir ovosit kaynağı olabileceği şüphelidir",1
"erroneous","Yanlış, hatalı","adj","❌",1,"Mistaken; flawed; wrong","Modadil 1080; Çıkmış sorular",1,"2023-1",22,"These tests are not always black and white; technology can yield erroneous results","Bu testler her zaman siyah ve beyaz değildir; teknoloji hatalı sonuçlar verebilir.",1
"forecast","Tahmin etmek, öngörmek","v","🌦️",1,"Predict; foresee; estimate; guess","Modadil 1080; Çıkmış sorular",1,"2022-2",22,"They've forecasted high temperatures and unpredictable winds.","Yüksek sıcaklıkları ve öngörülemeyen rüzgarları tahmin ettiler.",1
"harvest","Hasat etmek, toplamak, yakalamak","v","🌾",1,"Collect; catch","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",4,"2018-1; 2021-1; 2022-1; 2024-2",22,"It is illegal to harvest coral in protected areas.","Korunan alanlarda mercan toplamak yasadışıdır.",1
"identical","Aynı, ayırt edilemez, özdeş","adj","👯",0,"Same; indistinguishable","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",22,"Biologists may produce genetically identical animals for experimentation","Biyologlar deney için genetik açıdan aynı olan hayvanlar üretebilir.",1
"immigration","Göç","n","🛂",0,"Arrival of settlers in a new country","Modadil 1080",0,"",22,"Individuals enter a population by birth and by moving in, that is, by immigration.","Bireyler doğumla ve taşınmayla, yani göçle bir nüfusa dahil olurlar.",1
"intend","Niyet etmek, hedeflemek, planlamak","v","🎯",1,"Aim; plan; mean","Modadil 1080; Çıkmış sorular",1,"2022-1",22,"The company also intends to clear the soil around the factory.","Şirket ayrıca fabrika çevresindeki toprağı temizlemeyi de planlıyor.",1
"intense","Yoğun, şiddetli","adj","🔥",0,"Extreme; intensified","Modadil 1080; Koç havuzu",0,"",22,"Global warming has led to more intense storms.","Küresel ısınma, daha şiddetli fırtınalara yol açtı.",1
"invisible","Görünmez, gizli","adj","👻",1,"Unseen; hidden; concealed","Modadil 1080; Çıkmış sorular",3,"2018-1; 2022-2; 2023-2",22,"The collision of two galaxies provides the best evidence yet obtained of the invisible dark matter assumed to dominate the mass of the universe.","İki galaksinin çarpışması, evrenin kütlesine hükmettiği sanılan görünmez kara maddenin bugüne kadar elde edilen en iyi kanıtını sağlar.",1
"massive","Büyük, muazzam, devasa","adj","🏔️",1,"Huge; immense; enormous; vast","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2021-2; 2023-2",22,"Massive environmental pollution will be inevitable due to overpopulation.","Aşırı nüfus nedeniyle muazzam çevre kirliliği kaçınılmaz olacaktır.",1
"retain","Muhafaza etmek, tutmak, korumak","v","🤲",1,"Keep; save; maintain; preserve","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2018-1",22,"They retained images that help them understand the origins of galaxies.","Onlar, galaksilerin kökenlerini anlamalarına yardımcı olacak görüntüleri muhafaza ettiler.",1
"strengthen","Sağlamlaştırmak, güçlendirmek","v","💪",0,"Reinforce; fortify; consolidate","Modadil 1080",0,"",22,"As monsoons strengthen, the consequences become more evident.","Muson yağmurları güçlendikçe, sonuçlar daha belirgin hale gelir.",1
"substantially","Önemli ölçüde, epeyce","adv","📈",1,"Considerably; significantly","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2024-2; 2025-1",22,"Underground fires are contributing substantially to global warming.","Yeraltı yangınları da küresel ısınmaya önemli ölçüde katkıda bulunmaktadır.",1
"unmanned","İnsansız çalışan, mürettebatsız","adj","🤖",0,"Not having or needing a crew or staff","Modadil 1080; Zafer Hoca",0,"",22,"After the crash, the unmanned missions could have been discontinued.","Kazadan sonra, insansız görevler durdurulabilirdi.",1
"accomplish","Tamamlamak, bitirmek","v","✅",1,"Achieve; complete; carry out","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2022-2",23,"This research will never be able to be accomplished sucessfully.","Bu araştırma asla başarıyla tamamlanamayacaktır.",1
"avalanche","Çığ","n","🏔️",0,"Downhill fall of snow","Modadil 1080; Zafer Hoca; Koç havuzu",0,"",23,"Avalanche is a rapid flow of snow down a sloping surface.","Çığ, eğimli bir yüzeye doğru hızlı bir kar akışıdır.",1
"crack","Çatlak, yarık","n","🪨",0,"Split; fissure; break","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2024-2",23,"Cracks in the crust let huge amounts of lava pour out from the centre of the Earth.","Kabuğun içindeki çatlaklar, Dünyanın merkezinden büyük miktarda lavın püskürmesine imkan verir.",1
"degrade","Ayrıştırmak, parçalara ayırmak","v","🧬",1,"Break down; take apart","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-1",23,"Plastics cannot be degraded biologically like organic materials.","Plastik, biyolojik olarak organik maddeler gibi parçalara ayırılamaz.",1
"demolish","Yıkmak, tahrip etmek","v","🏚️",0,"Destroy; ruin; damage","Modadil 1080",0,"",23,"The natural ecology of the Bay Area was thoroughly demolished long ago.","Körfez Bölgesi'nin doğal ekolojisi uzun zaman önce tamamen tahrip edilmiştir.",1
