ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
255,SUBSTANCE (n),SUBSTANCE (n),"Cisim, madde","Material, matter","When a pure liquid substance freezes, it usually forms a crystalline solid.","Saf bir sıvı madde dondurulduğunda, genellikle kristalin bir katı oluşturur.",13,-,-,0
256,SUCCEED (v),SUCCEED (v),"Başarmak, amaca ulaşmak","Achieve, accomplish","If the researchers succeed, they believe the turbine would be 10 times more powerful than existing equipment.","Araştırmacılar başarırlarsa, türbinin mevcut ekipmanlardan 10 kat daha güçlü olacağına inanıyorlar.",13,-,-,0
257,SUSTAINABLE (adj),SUSTAINABLE (adj),Sürdürülebilir,"Maintainable, supportable",Concerns about exhaust emissions have heightened the search for more sustainable sources.,"Egzoz emisyonlarıyla ilgili endişeler, daha sürdürülebilir kaynak arayışını arttırdı.",13,-,-,0
258,TERRITORY (n),TERRITORY (n),"Alan, bölge, toprak","Land, terrain, ground, area, region, zone",Hippopotamuses can be aggressive when defending their territory.,Su aygırları bölgelerini savunurken saldırgan olabilirler.,13,-,-,0
259,THOROUGHLY (adv),THOROUGHLY (adv),"Tamamen, ayrıntılarıyla","Completely, absolutely, totally, utterly",Some chemicals in personal care products have never been thoroughly assessed by independent scientists.,"Kişisel bakım ürünlerindeki bazı kimyasallar, bağımsız bilim adamları tarafından asla tamamen değerlendirilmemektedir.",13,-,-,0
260,UTILIZE (v),UTILIZE (v),"İstifade etmek, faydalanmak","Make use of, exploit",Only a small amount of wheat genetic diversity has been utilized and explored.,Yalnızca küçük bir miktar buğday genetik çeşitliliği kullanılmış ve incelenmiştir.,13,-,-,0
261,AMEND (v),AMEND (v),"Düzeltmek, iyileştirmek","Modify, revise, correct, improve",The company amended its technology to block ,"Şirket, bilgisayar korsanlarını engellemek için teknolojisini iyileştirdi.",14,-,-,0
262,APPROACH (n),APPROACH (n),"Yaklaşım, görüş","Attitude, perspective",The National Science Centre has an extremely flexible approach to research.,"Ulusal Bilim Merkezinin, araştırmalara son derece esnek bir yaklaşımı vardır.",14,-,-,0
263,APPROPRIATE (adj),APPROPRIATE (adj),"Münasip, uygun","Suitable, right, correct",Further research may be needed to determine appropriate measures.,Uygun tedbirleri belirlemek için daha fazla araştırma gerekebilir.,14,-,-,0
264,AWARENESS (n),AWARENESS (n),"Farkındalık, bilinç","Consciousness, mindfulness, cognizance",An increased public awareness of environmental problems has made ecology a common,Çevresel sorunlarla ilgili artan bir halk bilinci ekolojiyi bilinir bir hale getirdi.,14,-,-,0
265,CHIEFLY (adv),CHIEFLY (adv),"Başlıca, esas olarak","Primarily, mainly, essentially",The clouds of Venus are chiefly a concentrated solution of sulfuric acid.,Venüs bulutları esas olarak konsantre bir sülfürik asit çözeltisidir.,14,-,-,0
266,CONSTANTLY (adv),CONSTANTLY (adv),"Devamlı olarak, sürekli","Continually, continuously, always",The Earth’s resources are constantly being reformed and reused.,Dünyanın kaynakları sürekli olarak yeniden şekil almakta ve yeniden kullanılmaktadır.,14,-,-,0
267,CONSUMPTION (n),CONSUMPTION (n),Tüketim,"Depletion, use",The developing countries account for one-fifth of the world's consumption of commercial energy.,"Gelişmekte olan ülkeler, dünyanın ticari enerji tüketiminin beşte birini oluşturuyor.",14,-,-,0
268,DELIVER (v),DELIVER (v),"Temin etmek, göndermek, dağıtmak","Provide, supply, dispense","""Hygens"", a space probe began to deliver its data to waiting scientists.","""Higens"" uzay aracı, bekleyen bilim insanlarına verilerini göndermeye başladı.",14,-,-,0
269,DEMAND (n/v),DEMAND (n/v),"Talep etmek, istek, talep","Request, call, claim",The demand for energy sources has significantly increased in recent years.,Son yıllarda enerji kaynaklarına talep önemli ölçüde artmıştır.,14,-,-,0
270,ERADICATE (v),ERADICATE (v),"Kökünü kazımak, yok etmek","Eliminate, get rid of",Technology progressively eradicates the need for labor., Teknoloji işçi ihtiyacını giderek yok etmektedir.,14,-,-,0
271,FUNDAMENTAL (adj),FUNDAMENTAL (adj),"Esas, temel","Basic, primary, essential",Cells are the fundamental machines of biology.,"Hücreler, biyolojinin temel makineleridir.",14,-,-,0
272,IMMENSE (adj),IMMENSE (adj),"Muazzam, engine, devasa","Huge, vast, enormous, massive, gigantic",Astronomers have recently managed to create the first three-dimensional map of the immense structure of dark matter.,Gökbilimciler son zamanlarda karanlık maddenin muazzam yapısının ilk üç boyutlu haritasını oluşturmayı başardılar.,14,-,-,0
273,INEVITABLE (adj),INEVITABLE (adj),"Kaçınılmaz, zorunlu","Unavoidable, inescapable",Errors in cellular division are inevitable.,Hücre bölünmesindeki hatalar kaçınılmazdır.,14,-,-,0
274,LEAK (v),LEAK (v),Sızdırmak,Seep,Fukushima is still leaking nuclear waste into the Pacific Ocean.,Fukushima hâlâ nükleer atıkları Pasifik Okyanusuna sızdırıyor.,14,-,-,0
275,MASS PRODUCTION (n phr),MASS PRODUCTION (n phr),Seri üretim,Flow shop manufacturing,With mass-production better quality goods are produced at lower costs,Seri üretimle daha kaliteli mallar düşük maliyetle üretilir.,14,-,-,0
276,POVERTY (n),POVERTY (n),"Yoksulluk, fakirlik","Poorness, impoverishment",They plan to fight against poverty through the lucrative enterprises.,Kâr eden işletmeler vasıtasıyla yoksullukla mücadele etmeyi planlıyorlar.,14,-,-,0
277,REPLACE (v),REPLACE (v),"Değiştirmek, yerine kullanmak, yerine geçmek","Substitute, change, use instead, exchange, switch","They are looking for cheaper options to replace iridium, a rare and expensive metal",Nadir ve pahalı bir metal olan iridyumun yerine geçecek daha ucuz seçenekler arıyorlar.,14,-,-,0
278,STIMULATE (v),STIMULATE (v),"Uyandırmak, teşvik etmek","Inspire, motivate, encourage","Different blood types have different antigens, substances that stimulate an immune response","Farklı kan türleri, bir bağışıklık tepkisi uyandıran maddeler olan farklı antijenlere sahiptir.",14,-,-,0
279,TAKE INTO ACCOUNT (phr v),TAKE INTO ACCOUNT (phr v),Hesaba katmak,"Allow for, take into consideration",Current metrics for agriculture do not take into account the sector's costs and benefits.,"Tarımla ilgili mevcut ölçümler, sektörün maliyet ve menfaatlerini hesaba katmıyor.",14,-,-,0
280,UNDERMINE (v),UNDERMINE (v),"Zayıflatmak, kuyusunu kazmak, zarar vermek","Weaken, hurt, demoralize",They are responsible for undermining scientific facts in some fields,Bazı alanlarda bilimsel gerçekleri zayıflatmakla sorumludurlar.,14,-,-,0
281,APPEAR (v),APPEAR (v),"Görünmek, ortaya çıkmak","Seem, look",Stars appear to the eye as single points of light.,"Yıldızlar, göze tek ışık noktaları olarak görünür.",15,-,-,0
282,AVERT (v),AVERT (v),"Engellemek, önüne geçmek","Prevent, stop, avoid","Without a better plan to cap emissions, it will be almost impossible to avert catastrophic climate change.","Emisyonların sınırlandırılması için daha iyi bir plan olmazsa, yıkıcı iklim değişikliğinin önüne geçmek neredeyse imkânsız olacaktır.",15,-,-,0
283,BREAKTHROUGH (n),BREAKTHROUGH (n),"Dönüm noktası, çığır, yenilik, atılım",Milestone,Such research may someday lead to important scientific breakthroughs.,Bu tür araştırmalar bir gün önemli bilimsel çığırlara neden olabilir.,15,-,-,0
284,EMPHASIZE (v),EMPHASIZE (v),"Vurgulamak, altını çizmek","Highlight, stress, underline", Evolutionary psychology emphasizes a more adaptational aspect of evolution.,"Evrim psikolojisi, evrimin daha uyarlanabilir bir yönünü vurgular.",15,-,-,0
285,ENCOUNTER (v),ENCOUNTER (v),"Karşılaşmak, -e rastlamak","Run across, bump into, confront",They didn't encounter really strong atmospheric resistance.,Gerçekten güçlü atmosferik direnişle karşılaşmadılar.,15,-,-,0
286,ENCOURAGE (v),ENCOURAGE (v),"Teşvik etmek, cesaretlendirmek","Motivate, inspire, stimulate",Research center encouraged its scientists to find ways of preventing global catastrophes.,"Araştırma merkezi, bilimadamlarını küresel felaketleri önleme yollarını aramaya teşvik etti.",15,-,-,0
287,LEAD to (phr v),LEAD to (phr v),"Sebep olmak, yol açmak","Bring about, give rise to, cause",The overuse of antibiotics lead to drug-resistant bacteria.,"Antibiyotiklerin aşırı kullanımı, ilaca dirençli bakterilere neden olmaktadır.",15,-,-,0
288,MANUFACTURE (n/v),MANUFACTURE (n/v),"İmal etmek, üretim"," Make, build, produce, production",Natural gas is also used as a raw material in the manufacture of chemicals.,"Doğal gaz, kimyasalların üretiminde hammadde olarak da kullanılır.",15,-,-,0
289,MOISTURE (n),MOISTURE (n),"Nem, rutubet","Humidity, dampness",More moisture also promotes the growth of vegetation.,"Daha fazla nem, bitki örtüsünün büyümesini de artırır.",15,-,-,0
290,NOTABLY (adv),NOTABLY (adv),"Özellikle, bilhassa","Particularly, especially","In some countries, notably China, air pollution is the main concern for the public.","Bazı ülkelerde, özellikle Çin'de, hava kirliliği halkın ana kaygısıdır.",15,-,-,0
291,PROCESS (n),PROCESS (n),"İşlem, süreç, aktivite","Procedure, development, activity",Isolating particular enzymes is a process of trial and error.,Belirli enzimleri izole etmek deneme yanılma işlemidir.,15,-,-,0
292,RESPECTIVELY (adv),RESPECTIVELY (adv),"Sırasıyla, ayrı ayrı","Separately, individually","Pentagon arrows and black triangles indicate genes and olfactory receptor genes, respectively.",Beşgen oklar ve siyah üçgenler sırasıyla genleri ve olfaktor reseptör genlerini belirtir.,15,-,-,0
293,STABLE (adj),STABLE (adj),"Sabit, değişmez, durağan","Steady, unchanging",Malaysia has a stable and temperate climate.,"Malezya, durağan ve ılıman bir iklime sahiptir.",15,-,-,0
294,SUFFICIENT (adj),SUFFICIENT (adj),"Yeter, kafi","Enough, adequate",The American Deep Space Network is sufficient to track all the probe activity.,"Amerikan Derin Uzay Ağı, tüm uzay aracı faaliyetlerini izlemek için yeterlidir.",15,-,-,0
295,SURVIVE (v),SURVIVE (v),"Hayatta kalmak, -den sağ kurtulmak","Live, stay alive",Generating body heat is what enables mammals to survive in so many different climates.,"Vücut ısısı üretmek, memelilerin çok farklı iklimlerde hayatta kalmasını sağlayan şeydir.",15,-,-,0
296,THREATEN (v),THREATEN (v),"Tehdit etmek, korkutmak","Menace, endanger, jeopardize, imperil",Chemical pollution threatens the whole planet.,"Kimyasal kirlilik, tüm gezegeni tehdit etmektedir.",15,-,-,0
297,UNCERTAINTY (n),UNCERTAINTY (n),"Kuşku, belirsizlik, tereddüt","Doubt, hesitation, vagueness, ambiguity",There is still some uncertainty as to how whales produce sound.,Balinaların nasıl ses çıkardığı ile ilgili hala bazı belirsizlikler var.,15,-,-,0
298,UTTERLY (adv),UTTERLY (adv),"Tamamen, tümüyle","Completely, absolutely, totally",The planet's largest tremors are random and utterly unpredictable.,Gezegenin en büyük sarsıntıları rastlantısaldır ve tamamen öngörülemez.,15,-,-,0
299,VALIDATE (v),VALIDATE (v),"Doğrulamak, geçerli kılmak","Authorize, certify, verify",Calibrating and validating satellite data are extremely crucial.,Uydu verilerini derecelendirmek ve doğrulamak son derece önemlidir.,15,-,-,0
300,VENTILATION (n),VENTILATION (n),Havalandırma,"Air circulation, airing","In underground mines, inadequate ventilation is the greatest hazard.",Yeraltı madenlerinde yetersiz havalandırma en büyük tehlikedir.,15,-,-,0
301,ACCORDINGLY (adv),ACCORDINGLY (adv),"Dolayısıyla, bu sebeple","Therefore, hence, as a result, consequently","Accordingly, it is possible to make nanotubes generate electricity.","Dolayısıyla, nanotüplere elektrik ürettirmek mümkündür.",16,-,-,0
302,ACHIEVE (v),ACHIEVE (v),"Elde etmek, başarmak, ulaşmak","Attain, accomplish, reach, complete",Eradicating malnutrition and achieving global food security is our ultimate goal.,Düzensiz beslenmenin ortadan kaldırılması ve küresel gıda güvenliğine ulaşılması nihai hedefimizdir.,16,-,-,0
303,BURDEN (n),BURDEN (n),"Sıkıntı, yük","Problem, worry, hardship",Storms place a heavy burden on the local health system.,"Fırtınalar, yerel sağlık sistemine ağır bir yük getiriyor.",16,-,-,0
304,CATASTROPHE (n),CATASTROPHE (n),"Felaket, yıkım","Disaster, calamity",Until recently few scientists took these tales of catastrophe seriously.,Yakın zamana kadar az sayıdaki bilim adamı bu felaket masallarını ciddiye aldı.,16,-,-,0
305,CERTAIN (adj),CERTAIN (adj),"Emin, kesin","Sure, convinced, positive",Climatologists are not certain about the number of hurricanes that occurred worldwide before 1970.,"İklim uzmanları, 1970 öncesinde dünya çapında meydana gelen kasırga sayısından emin değillerdir.",16,-,-,0
306,COMET (n),COMET (n),Kuyruklu yıldız,Astronomical object with long tail,The comet fragments plunged into Jupiter's atmosphere.,Kuyruklu yıldız parçaları Jüpiter'in atmosferine girdi.,16,-,-,0
307,CONSTANT (adj),CONSTANT (adj),"Sabit, sürekli, değişmez","Continuous, endless, steady, stable",The pacific north-west coast is a place of constant tectonic activity.,Pasifik kuzey-batı kıyısı sürekli tektonik aktivitenin bir yeridir.,16,-,-,0
308,DAM (n),DAM (n), Baraj,Barrier controlling flow of water,Dams influence aquatic ecology and biodiversity.,Barajlar suda yaşayan ekolojiyi ve biyoçeşitliliği etkiler.,16,-,-,0
309,DETERIORATION (n),DETERIORATION (n),"Bozulma, kötüleşme","Worsening, decline, weakening",Memory deterioration is a fairly normal part of ageing.,Hafızanın kötüleşmesi yaşlanmanın oldukça normal bir parçasıdır.,16,-,-,0
310,DISTRIBUTE (v),DISTRIBUTE (v),"Vermek, dağıtmak","Deliver, supply, spread, disperse",The firm will stop distributing the technology at the end of this year.,"Firma, bu yılın sonunda teknoloji dağıtmayı durduracak.",16,-,-,0
311,FLOW (n),FLOW (n),"Akış, dolaşım","Movement, current, stream",Locomotion can be considered to be a flow of mass from one location to another.,"Hareket, bir lokasyondan diğerine bir kütle akışı olarak düşünülebilir.",16,-,-,0
312,FOOTPRINT (n),FOOTPRINT (n),Ayak izi,"Mark, sign",Some parts of the underwater cave preserved the footprints of ancient bears.,Sualtı mağarasının bazı kısımları eski ayıların ayak izlerini barındırıyordu.,16,-,-,0
313,FORESEE (v),FORESEE (v),"Öngörmek, önceden sezmek","Predict, forecast, expect, anticipate, envisage",The climate panel foresees fewer hurricanes for next year.,İklim paneli önümüzdeki yıl için daha az kasırga öngörüyor,16,-,-,0
314,HABITATION (n),HABITATION (n),"Yerleşim, ikamet, mesken","Settlement, housing",Evidence of earlier human habitation in the Americas has been recently discovered.,Amerika'da daha eski insan yerleşimine dair kanıtlar yakın zamanda keşfedildi.,16,-,-,0
315,HARMLESS (adj),HARMLESS (adj)," Zararsız, masum, iyi huylu","Inoffensive, safe","The human throat houses billions of bacteria, most of them harmless.","İnsan boğazı milyarlarca bakteriye ev sahipliği yapıyor, bunların çoğu zararsızdır.",16,-,-,0
316,NUMEROUS (adj),NUMEROUS (adj),"Sayısız, birçok, pek çok","Many, plentiful, abundant",Green plants provide shelter for numerous insects.,Yeşil bitkiler çok sayıda böcek için barınak sağlar.,16,-,-,0
317,OVERCOME (v),OVERCOME (v),"Üstesinden gelmek, başa çıkmak","Deal with, cope with, handle, tackle",A virus can overcome the body’s primary defences.,Bir virüs vücudun temel savunmalarının üstesinden gelebilir.,16,-,-,0
318,PERCEIVE (v),PERCEIVE (v),"Algılamak, idrak etmek, hissetmek","Sense, feel, understand, comprehend",The eye is a complex structure that visually perceives its own surroundings.,"Göz, kendi çevresini görsel olarak algılayabilen karmaşık bir yapıdır.",16,-,-,0
319,PROFOUND (adj),PROFOUND (adj),"Derin, yoğun","Deep, intense",Superfluid helium has profound mathematical links with the cosmos.,Süper akışkan helyum kozmos ile derin matematiksel ilişkiye sahiptir.,16,-,-,0
320,SIMULTANEOUSLY (adv),SIMULTANEOUSLY (adv),"Eş zamanlı, aynı anda","At the same time, concurrently",The new device allows multiple devices to charge simultaneously.,Yeni cihaz birden fazla cihazın aynı anda şarj etmesine olanak tanıyor.,16,-,-,0
321,COUNTLESS (adj),COUNTLESS (adj),"Sayısız, oldukça çok","Innumerable, myriad, limitless",Galileo observed the Milky Way which is comprised of countless stars for a long period of time.,Galileo sayısız yıldızdan oluşan Samanyolu'nu uzun bir süre gözlemledi.,17,-,-,0
322,DESTRUCTION (n),DESTRUCTION (n),"Yıkım, yok etme, imha","Devastation, demolition, ruin, damage",Irma hurricane has caused an environmental destruction.,Irma kasırgası çevresel bir yıkıma sebep oldu.,17,-,-,0
323,DISTANT (adj),DISTANT (adj),"Uzak, mesafeli","Faraway, remote, far-off",The Hubble Space Telescope is expected to relay to NASA spectacular images of some distant galaxies.,Hubble Uzay Teleskobunun NASA'ya uzaktaki bazı galaksilerin muhteşem görüntülerini aktarması bekleniyor.,17,-,-,0
324,DURABLE (adj),DURABLE (adj),"Dayanıklı, güçlü","Tough, sturdy, strong, robust",Artificial spider silk could be used to make durable packaging materials.,"Yapay örümcek ipeği, dayanıklı ambalaj malzemelerini yapmak için kullanılabilir.",17,-,-,0
325,EAGER (adj),EAGER (adj),"İstekli, hevesli","Keen, enthusiastic, willing",There are many people eager to be space travellers.,Uzay yolcusu olmaya hevesli birçok kişi vardır.,17,-,-,0
326,ELAVATE (v),ELAVATE (v),"Yükseltmek, kaldırmak","Raise, lift",There is already ample evidence that vaccines do not elevate the risk of autism.,Aşıların otizm riskini yükseltmediğine dair yeterince kanıt var.,17,-,-,0
327,EVIDENCE (n),EVIDENCE (n),"Kanıt, delil, iz","Proof, indication",There is conclusive evidence that the ability to speak is encoded in our DNA.,Konuşma kabiliyetinin DNA'da kodlu olduğuna dair kesin kanıtlar vardır.,17,-,-,0
328,FEATURE (n),FEATURE (n),"Nitelik, özellik","Characteristic, trait, quality",Saturn's rings — the planet's most iconic feature — are made up of billions of icy particles.,Gezegenin en ikonik özelliği olan Satürn'ün halkaları milyarlarca buz parçacığından oluşur.,17,-,-,0
329,FIGURE OUT (phr v),FIGURE OUT (phr v),"Çözmek, anlamak","Work out, understand, discover",He was trying to figure out why the system wasn't working.,Sistemin neden çalışmadığını anlamaya çalışıyordu.,17,-,-,0
330,HERBICIDE (n),HERBICIDE (n),"Bitki öldürücü, ot ilacı",Chemical substance for killing unwanted plants,The corn used to manufacture ethanol requires large doses of herbicide and nitrogen fertilizer.,"Etanol üretmek için kullanılan mısır, büyük miktarda bitki ilacı ve azot gübresine gereksinim duyar.",17,-,-,0
331,INTENSITY (n),INTENSITY (n),"Yoğunluk, kuvvet, şiddet","Strength, concentration, power",The intensity of hurricanes has increased markedly since the 1970s.,Kasırgaların şiddeti 1970'lerden beri belirgin bir şekilde arttı.,17,-,-,0
332,MEASURE (n),MEASURE (n),"Önlem, tedbir","Precaution, step",There are a few measures you can take to prevent infection from mosquito bites.,Sivrisinek ısırıkları kaynaklı enfeksiyonu önlemek için alabileceğiniz birkaç önlem var.,17,-,-,0
333,MOLTEN (adj),MOLTEN (adj),"Erimiş, sıvı","Melted, liquefied, liquid","That kind of underground collision produces molten rocks, rich in volatile gases such as sulfur dioxide.","Bu tür bir yer altı çarpışması, kükürt dioksit gibi uçucu gazlar açısından zengin, erimiş kayaçlar üretir.",17,-,-,0
334,PERSIST (v),PERSIST (v),"Israr etmek, devamlılık göstermek, sürmek","Insist, continue, keep on",The glaciers' retreat may persist because of global warming.,"Buzulların geri çekilmesi, küresel ısınma yüzünden devam edebilir.",17,-,-,0
335,PROFITABLE (adj),PROFITABLE (adj),"Yararlı, faydalı, kazançlı","Beneficial, helpful, lucrative",Language technology's most profitable and promising field of application is surely domestic appliances operated by voice command.,"Dil teknolojisinin en faydalı ve umut verici uygulama alanı, kesinlikle sesli komutla çalışan ev aletleridir.",17,-,-,0
336,RARE (adj),RARE (adj),"Nadir, az bulunan, ender","Uncommon, infrequent","Until recently, Zika was considered a very rare and benign virus.","Yakına zamana kadar, Zika çok ender görülen ve iyi huylu bir virüs olarak düşünüldü.",17,-,-,0
337,SPACECRAFT (n),SPACECRAFT (n),Uzay aracı,Vehicle for space travel,Spacecraft voyages to Mars have challenged humans’ perception.,"Mars'a uzay aracı yolculukları, insanların algısına meydan okudu.",17,-,-,0
338,UNDERESTIMATE (n),UNDERESTIMATE (n),"Küçümsemek, hafife almak","Undervalue, underrate",We shouldn't underestimate the long-term effects of air pollution.,Hava kirliliğinin uzun vadeli etkilerini hafife almamalıyız.,17,-,-,0
339,VIRTUALLY (adv),VIRTUALLY (adv),"Hemen hemen, neredeyse","Almost, nearly","Until recently, we viewed the ocean as a virtually limitless resource.","Yakın zamana kadar, okyanusu neredeyse sınırsız bir kaynak olarak gördük.",17,-,-,0
340,WILDFIRE (n),WILDFIRE (n),Kontrol edilemeyen yangın,Rapidly spreading fire,"In Greece, wildfires are common in the summer.","Yunanistan'da, yaz aylarında kontrol edilemeyen yangınlar yaygındır.",17,-,-,0
341,ACCURACY (n),ACCURACY (n),"Doğruluk, hassasiyet, hatasızlık","Correctness, exactness, precision",Current robots can move with great speed and accuracy to perform difficult tasks.,"Mevcut robotlar, zor görevleri yerine getirmek için hızlı ve hatasız şekilde hareket edebilir.",18,-,-,0
342,ASSIST (v),ASSIST (v),Yardım etmek,"Help, aid",Aerodynamic shape would assist speed.,Aerodinamik şekil hıza yardımcı olur,18,-,-,0
343,ASSUME (v),ASSUME (v),"Varsaymak, farz etmek, düşünmek","Suppose, presume","That scenario assumes global warming stays under two degrees, as the Paris climate agreement calls for.","Bu senaryo, Paris iklim anlaşması uyarınca küresel ısınmanın 2 derecenin altında kaldığını varsaymaktadır.",18,-,-,0
344,COINCIDENCE (n),COINCIDENCE (n),"Tesadüf, rastlantı","Accident, chance, luck",The fact that Amazon’s latest drone tests were in Britain is no coincidence.,Amazon'un son drone testlerinin İngiltere'de olması tesadüf değil.,18,-,-,0
345,COMPASS (n),COMPASS (n),Pusula,A device for finding directions,They were first civilization that used a magnetic compass to determine direction.,"Onlar, yön belirlemek için manyetik bir pusula kullanan ilk uygarlıktı.",18,-,-,0
346,CONDUCTIVITY (n),CONDUCTIVITY (n),"Iletkenli, geçirgenlik",Ability to transmit electricity,Tiny amounts of carbon improve copper's conductivity.,"Az miktarda karbon, bakırın iletkenliğini arttırır.",18,-,-,0
347,COPE WITH (phr v),COPE WITH (phr v),"Başa çıkmak, üstesinden gelmek","Deal with, handle, overcome",ocal leaders have often taken better steps to cope with climate change.,Yerel liderler iklim değişikliği ile başa çıkmak için çoğu kez daha iyi adımlar attı.,18,-,-,0
348,DEDUCE (v),DEDUCE (v),"Sonucuna varmak, çıkarım yapmak, anlamak","Conclude, infer, assume",Palaeontology was once limited to discovering fossils and trying to deduce their age with inaccurate methods.,"Paleontoloji, bir zamanlar fosilleri keşfetmek ve yaşlarını anlamaya çalışmakla sınırlıydı.",18,-,-,0
349,DRAWBACK (n),DRAWBACK (n),"Sorun, engel, dezavantaj","Disadvantage, problem","There have been earlier cholera vaccines, but they had serious drawbacks.","Daha eski kolera aşıları mevcuttu, ancak ciddi dezavantajları vardı.",18,-,-,0
350,EVACUATE (v),EVACUATE (v),"Tahliye etmek, boşaltmak","Empty, abandon, leave",The local authority asked residents to evacuate the island immediately.,Yerel otorite sakinlerden adayı derhal tahliye etmelerini istedi.,18,-,-,0
351,EXPENDITURE (n),EXPENDITURE (n),"Gider, masraf, harcama","Spending, expenses, costs","Since 2001, NASA has been insreasing expenditure for scientific research.","2001 yılından beri, NASA bilimsel araştırma harcamalarını arttırıyor.",18,-,-,0
352,FERTILITY (n),FERTILITY (n),"Verimlilik, üretkenlik","Fruitfulness, productiveness",Farmers improve the soil fertility by adding compost,"Çiftçiler, organik gübre ilave ederek toprak verimliliğini artırır.",18,-,-,0
353,MAINTENANCE (n),MAINTENANCE (n),"Bakım, idame",Continuing repair work,Strong currents make maintenance of the bridge difficult and dangerous.,Güçlü akıntılar köprünün bakımını zor ve tehlikeli yapar.,18,-,-,0
354,NOTION (n),NOTION (n),"Düşünce, fikir","Idea, view, concept, belief",Leibniz had a notion of modern algorithmic information.,Leibniz'in çağdaş algoritmik bilgilere dair bir fikri vardı.,18,-,-,0
355,PRECISELY (adv),PRECISELY (adv),"Tam olarak, kesin olarak","Exactly, accurately, completely",The first thing to do for them was to precisely identify the excavation site,Onlar için ilk yapılması gereken şey kazı alanını tam olarak tespit etmeleriydi.,18,-,-,0
356,PROGRESSIVELY (adv),PROGRESSIVELY (adv),"Gittikçe, artan biçimde","Increasingly, more and more","Venus, Earth and Mars move progressively less rapidly about the Sun.","Venüs, Dünya ve Mars, Güneş'ten giderek daha az hızlı hareket eder.",18,-,-,0
357,PROHIBIT (v),PROHIBIT (v),Yasaklamak,"Forbid, ban",Laws in many countries prohibit disposal of sewage and other wastes at sea.,"Birçok ülkede yasalar, kanalizasyon ve diğer atıkların denizde yok edilmesini yasaklar.",18,-,-,0
358,SUPPLEMENT (n),SUPPLEMENT (n),"Takviye, ilave","Addition, extra",Probiotic supplements are intended to colonize the gut with beneficial bacteria.,Probiyotik takviyeleriyle bağırsağın yararlı bakterilerle kolonileştirilmesi amaçlanır.,18,-,-,0
359,VITAL (adj),VITAL (adj),"Hayati, önemli","Important, critical, crucial",Amazon forests makes a vital contribution to the global atmospheric balance.,Amazon ormanları küresel atmosferik dengeye hayati bir katkı yapar.,18,-,-,0
360,VULNERABLE (adj),VULNERABLE (adj),"Savunmasız, zayıf, yatkın","Susceptible, weak, defenseless",Mountains in polar latitudes are the least vulnerable to erosion.,Kutup enlemlerindeki dağlar erozyona karşı en az savunmasızdır.,18,-,-,0
361,BOOST (v),BOOST (v),"Yükseltmek, artırmak, geliştirmek","Increase, improve, enhance",The United States is replacing coal with natural gas and boosting renewable energy sources.,Amerika Birleşik Devletleri kömürü doğal gazla değiştiriyor ve yenilenebilir enerji kaynaklarını artıyor.,19,-,-,0
362,COMPARATIVELY (adv),COMPARATIVELY (adv),"Kısmen, nispeten","Moderately, relatively, somewhat","There are comparatively few disasters in the West, with the exception of California.","ya hariç, Batı'da nispeten az felaket var.",19,-,-,0
363,CONSERVATION (n),CONSERVATION (n),"Koruma, muhafaza","Upkeep, preservation, maintenance, protection",Marine conservation areas are absolutely essential.,Deniz koruma alanları kesinlikle gereklidir.,19,-,-,0
364,CONTAMINATION (n),CONTAMINATION (n),"Kirlenme, kirlilik", Pollution,Excess phosphorus in soil is linked to water contamination.,"Topraktaki aşırı fosfor, su kirliliğiyle bağlantılıdır.",19,-,-,0
365,DECAY (v/n),DECAY (v/n),"Çürümek, bozulmak, çürük","Decompose, rot, spoil","Organic material decays rapidly, especially in hot climates.",Organik materyal özellikle sıcak iklimlerde hızla çürür.,19,-,-,0
366,DECLINE (v/n),DECLINE (v/n),"Azalma, düşüş, azalmak, zayıflamak","Decrease, weaken",Hunting is responsible for population declines in many species.,"Avcılık, birçok türün nüfus azalışlarından sorumludur.",19,-,-,0
367,DENSITY (n),DENSITY (n),"Yoğunluk, öz kütl","Thickness, mass",The density of the methane in Pluto atmosphere cannot be measured.,Plüton atmosferindeki metanın yoğunluğu ölçülemez,19,-,-,0
368,ENDANGER (v),ENDANGER (v),Tehlikeye atmak,"Put in danger, imperil, jeopardize",The conservationists argue the vehicles endanger life.,"Çevreciler, araçların hayatı tehlikeye attığını iddia ediyor.",19,-,-,0
369,ESTABLISH (v),ESTABLISH (v),"Kurmak, tesis etmek","Set up, found",NASA’s ultimate goal is to establish a permanent lunar base,"NASA'nın nihai hedefi, kalıcı bir Ay üssü tesis etmektir.",19,-,-,0
370,ESTIMATE (v),ESTIMATE (v),"Tahmin etmek, hesap etmek","Approximate, guess",Plant biologists estimate that 25-50% of all plant species are polyploids.,"Bitki biyologları, tüm bitki türlerinin % 25-50'sinin çok kromozomlu olduğunu tahmin etmektedir.",19,-,-,0
371,EVENTUAL (adj),EVENTUAL (adj),"Nihai, son","Ultimate, final, last",The eventual version of the weedkilling robot comes into use.,Ot öldürücü robotun nihai versiyonu kullanıma girdi.,19,-,-,0
